,train,val,test
0,img7,img5,img17
1,img10,img6,img31
2,img13,img19,img38
3,img14,img40,img49
4,img18,img60,img54
5,img20,img77,img55
6,img21,img85,img66
7,img22,img88,img72
8,img30,img11,img28
9,img32,img12,img29
10,img36,img62,img34
11,img41,img81,img39
12,img42,img90,img82
13,img43,img93,img83
14,img46,img99,img89
15,img47,,
16,img48,,
17,img50,,
18,img51,,
19,img52,,
20,img53,,
21,img61,,
22,img65,,
23,img67,,
24,img68,,
25,img69,,
26,img70,,
27,img1,,
28,img2,,
29,img3,,
30,img4,,
31,img15,,
32,img16,,
33,img23,,
34,img24,,
35,img25,,
36,img26,,
37,img27,,
38,img33,,
39,img35,,
40,img37,,
41,img44,,
42,img45,,
43,img56,,
44,img57,,
45,img58,,
46,img59,,
47,img63,,
48,img64,,
49,img73,,
50,img74,,
51,img75,,
52,img76,,
53,img100,,
