,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.6964285714285714,0.6071428571428572,0.6,0.6
1,1,0.5714285714285714,0.75,0.4666666666666667,0.6666666666666667
2,2,0.5535714285714286,0.5535714285714286,0.6666666666666667,0.4
3,3,0.8035714285714286,0.6071428571428571,0.5333333333333333,0.6666666666666667
4,4,0.6071428571428572,0.5892857142857144,0.6666666666666667,0.6666666666666667
5,5,0.25,0.4107142857142857,0.5333333333333333,0.5333333333333333
6,6,0.8214285714285714,0.9107142857142858,0.7333333333333334,0.8
7,7,0.6428571428571429,0.8928571428571429,0.6,0.8666666666666667
8,8,0.6607142857142857,0.9821428571428572,0.6,0.8666666666666667
9,9,0.9107142857142857,0.875,0.8,0.8
