train,val,test
img1,img62,img89
img100,img81,img29
img15,img90,img82
img16,img99,img83
img2,img11,img28
img23,img12,img39
img24,img93,img34
img25,img77,img31
img26,img5,img17
img27,img19,img55
img3,img6,img54
img33,img40,img72
img35,img88,img38
img37,img60,img66
img4,img85,img49
img44,,
img45,,
img56,,
img57,,
img58,,
img59,,
img63,,
img64,,
img73,,
img74,,
img75,,
img76,,
img10,,
img13,,
img14,,
img18,,
img20,,
img21,,
img22,,
img30,,
img32,,
img36,,
img41,,
img42,,
img43,,
img46,,
img47,,
img48,,
img50,,
img51,,
img52,,
img53,,
img61,,
img65,,
img67,,
img68,,
img69,,
img7,,
img70,,
