,train,val,test
0,img1,img62,img82
1,img100,img58,img59
2,img11,img25,img34
3,img12,img98,img15
4,img2,img33,img28
5,img23,img75,img16
6,img24,img83,img3
7,img26,img14,img36
8,img27,img41,img78
9,img29,img48,img19
10,img35,img8,img53
11,img37,img52,img21
12,img39,img51,img80
13,img4,img42,img67
14,img44,img5,img72
15,img45,,
16,img56,,
17,img57,,
18,img63,,
19,img64,,
20,img73,,
21,img74,,
22,img76,,
23,img81,,
24,img84,,
25,img89,,
26,img90,,
27,img91,,
28,img10,,
29,img13,,
30,img17,,
31,img18,,
32,img20,,
33,img22,,
34,img30,,
35,img31,,
36,img32,,
37,img38,,
38,img40,,
39,img43,,
40,img46,,
41,img47,,
42,img49,,
43,img50,,
44,img54,,
45,img55,,
46,img6,,
47,img60,,
48,img61,,
49,img65,,
50,img66,,
51,img68,,
52,img69,,
53,img7,,
54,img70,,
55,img71,,
