,train,val,test
img1,True,False,False
img11,True,False,False
img12,True,False,False
img15,True,False,False
img16,True,False,False
img2,True,False,False
img23,True,False,False
img24,True,False,False
img25,True,False,False
img26,True,False,False
img27,True,False,False
img29,True,False,False
img3,True,False,False
img33,True,False,False
img35,True,False,False
img37,True,False,False
img39,True,False,False
img4,True,False,False
img45,True,False,False
img56,True,False,False
img57,True,False,False
img62,True,False,False
img63,True,False,False
img73,True,False,False
img74,True,False,False
img76,True,False,False
img84,True,False,False
img91,True,False,False
img10,True,False,False
img13,True,False,False
img14,True,False,False
img17,True,False,False
img18,True,False,False
img19,True,False,False
img20,True,False,False
img22,True,False,False
img30,True,False,False
img31,True,False,False
img36,True,False,False
img40,True,False,False
img46,True,False,False
img47,True,False,False
img48,True,False,False
img49,True,False,False
img5,True,False,False
img51,True,False,False
img52,True,False,False
img55,True,False,False
img6,True,False,False
img60,True,False,False
img61,True,False,False
img65,True,False,False
img68,True,False,False
img69,True,False,False
img70,True,False,False
img71,True,False,False
img82,False,True,False
img81,False,True,False
img75,False,True,False
img58,False,True,False
img44,False,True,False
img89,False,True,False
img83,False,True,False
img7,False,True,False
img21,False,True,False
img53,False,True,False
img38,False,True,False
img43,False,True,False
img42,False,True,False
img41,False,True,False
img50,False,True,False
img90,False,False,True
img99,False,False,True
img28,False,False,True
img100,False,False,True
img34,False,False,True
img59,False,False,True
img64,False,False,True
img78,False,False,True
img54,False,False,True
img66,False,False,True
img86,False,False,True
img67,False,False,True
img32,False,False,True
img8,False,False,True
img77,False,False,True
